fias_id,address,porch,lat,lon,azimuth
96020d40-e3d3-4b25-aaf7-cf0862d2451d,"Челябинск, ул. 250-летия Челябинска, д. 5",9,55.18161390729,61.314797178469,180
96020d40-e3d3-4b25-aaf7-cf0862d2451d,"Челябинск, ул. 250-летия Челябинска, д. 5",8,55.18161390729,61.314487708853,180
96020d40-e3d3-4b25-aaf7-cf0862d2451d,"Челябинск, ул. 250-летия Челябинска, д. 5",7,55.18161390729,61.31416072209,180
96020d40-e3d3-4b25-aaf7-cf0862d2451d,"Челябинск, ул. 250-летия Челябинска, д. 5",6,55.18161390729,61.313860235628,180
96020d40-e3d3-4b25-aaf7-cf0862d2451d,"Челябинск, ул. 250-летия Челябинска, д. 5",5,55.18161390729,61.31357591884,180
96020d40-e3d3-4b25-aaf7-cf0862d2451d,"Челябинск, ул. 250-летия Челябинска, д. 5",4,55.18161390729,61.313345051812,135
96020d40-e3d3-4b25-aaf7-cf0862d2451d,"Челябинск, ул. 250-летия Челябинска, д. 5",3,55.18142628065,61.31334550097,90
96020d40-e3d3-4b25-aaf7-cf0862d2451d,"Челябинск, ул. 250-летия Челябинска, д. 5",2,55.181249705179,61.313429942606,90
96020d40-e3d3-4b25-aaf7-cf0862d2451d,"Челябинск, ул. 250-летия Челябинска, д. 5",13,55.181263327478,61.315374795197,270
96020d40-e3d3-4b25-aaf7-cf0862d2451d,"Челябинск, ул. 250-летия Челябинска, д. 5",12,55.181430650048,61.315374795197,270
96020d40-e3d3-4b25-aaf7-cf0862d2451d,"Челябинск, ул. 250-летия Челябинска, д. 5",11,55.18161390729,61.315374795197,225
96020d40-e3d3-4b25-aaf7-cf0862d2451d,"Челябинск, ул. 250-летия Челябинска, д. 5",10,55.18161390729,61.315132699227,180
96020d40-e3d3-4b25-aaf7-cf0862d2451d,"Челябинск, ул. 250-летия Челябинска, д. 5",1,55.181074671077,61.313517079189,90
3f9b60c1-777b-4fe8-9d91-7aa19dab6172,"Челябинск, ул. Культуры, д. 95",5,55.177504937849,61.443898559526,339
3f9b60c1-777b-4fe8-9d91-7aa19dab6172,"Челябинск, ул. Культуры, д. 95",4,55.177557118722,61.444140206338,294
3f9b60c1-777b-4fe8-9d91-7aa19dab6172,"Челябинск, ул. Культуры, д. 95",3,55.17767433265,61.444063400381,249
3f9b60c1-777b-4fe8-9d91-7aa19dab6172,"Челябинск, ул. Культуры, д. 95",2,55.177822134807,61.44396638233,204
3f9b60c1-777b-4fe8-9d91-7aa19dab6172,"Челябинск, ул. Культуры, д. 95",1,55.177879199144,61.443679819754,339
a75a5d6e-2759-4eb6-b4a5-3ded77f7e831,"Челябинск, пр-кт. Комсомольский, д. 33",9,55.194001213502,61.352721354819,180
a75a5d6e-2759-4eb6-b4a5-3ded77f7e831,"Челябинск, пр-кт. Комсомольский, д. 33",8,55.194000442676,61.35229061264,180
a75a5d6e-2759-4eb6-b4a5-3ded77f7e831,"Челябинск, пр-кт. Комсомольский, д. 33",7,55.193999928792,61.351862565407,180
a75a5d6e-2759-4eb6-b4a5-3ded77f7e831,"Челябинск, пр-кт. Комсомольский, д. 33",6,55.193999414908,61.351441255539,180
a75a5d6e-2759-4eb6-b4a5-3ded77f7e831,"Челябинск, пр-кт. Комсомольский, д. 33",5,55.193998644082,61.35101230999,180
a75a5d6e-2759-4eb6-b4a5-3ded77f7e831,"Челябинск, пр-кт. Комсомольский, д. 33",4,55.193998130199,61.350586508546,180
a75a5d6e-2759-4eb6-b4a5-3ded77f7e831,"Челябинск, пр-кт. Комсомольский, д. 33",3,55.193997616315,61.350159359628,180
a75a5d6e-2759-4eb6-b4a5-3ded77f7e831,"Челябинск, пр-кт. Комсомольский, д. 33",2,55.193996845489,61.349731312395,180
a75a5d6e-2759-4eb6-b4a5-3ded77f7e831,"Челябинск, пр-кт. Комсомольский, д. 33",10,55.194001727386,61.353138622268,180
a75a5d6e-2759-4eb6-b4a5-3ded77f7e831,"Челябинск, пр-кт. Комсомольский, д. 33",1,55.193996331605,61.349298324428,180
7f005447-74e7-4475-9502-5186fa6b6ca1,"Челябинск, ул. Новосельская, д. 25",3,55.118502354874,61.372132151478,130
7f005447-74e7-4475-9502-5186fa6b6ca1,"Челябинск, ул. Новосельская, д. 25",2,55.118328331216,61.371876131622,130
7f005447-74e7-4475-9502-5186fa6b6ca1,"Челябинск, ул. Новосельская, д. 25",1,55.11816383182,61.371634035653,130
8a562216-f244-4d46-9c25-a0239372a9ce,"Челябинск, ул. Энгельса, д. 36 А",7,55.156490005538,61.378220932474,87
8a562216-f244-4d46-9c25-a0239372a9ce,"Челябинск, ул. Энгельса, д. 36 А",6,55.156283228323,61.378239347937,87
8a562216-f244-4d46-9c25-a0239372a9ce,"Челябинск, ул. Энгельса, д. 36 А",5,55.156091881285,61.378264949922,357
8a562216-f244-4d46-9c25-a0239372a9ce,"Челябинск, ул. Энгельса, д. 36 А",4,55.156099854096,61.378545673449,357
8a562216-f244-4d46-9c25-a0239372a9ce,"Челябинск, ул. Энгельса, д. 36 А",3,55.156102168783,61.379053670742,357
8a562216-f244-4d46-9c25-a0239372a9ce,"Челябинск, ул. Энгельса, д. 36 А",2,55.156098825347,61.379567057927,357
8a562216-f244-4d46-9c25-a0239372a9ce,"Челябинск, ул. Энгельса, д. 36 А",1,55.156141004067,61.379964113282,357
debcced5-bca8-4db8-b2f1-0cbecc7a7c0f,"Челябинск, ул. Российская, д. 71 А",1,55.16968242883,61.417957909067,87
d5669786-2b86-4729-bbdf-809f2f57027c,"Челябинск, ул. Университетская Набережная, д. 30",9,55.175125879841,61.348070776593,45
d5669786-2b86-4729-bbdf-809f2f57027c,"Челябинск, ул. Университетская Набережная, д. 30",8,55.175125879841,61.348394619253,360
d5669786-2b86-4729-bbdf-809f2f57027c,"Челябинск, ул. Университетская Набережная, д. 30",7,55.175125879841,61.348738224849,360
d5669786-2b86-4729-bbdf-809f2f57027c,"Челябинск, ул. Университетская Набережная, д. 30",6,55.175125879841,61.349097550962,360
